ProductID,ProductName,TotalRevenue
38,"Cte de Blaye",149984.20
29,"Thringer Rostbratwurst",87736.40
59,"Raclette Courdavault",76296.00
60,"Camembert Pierrot",50286.00
62,"Tarte au sucre",49827.90
56,"Gnocchi di nonna Alice",45121.20
51,"Manjimup Dried Apples",44742.60
17,"Alice Mutton",35482.20
18,"Carnarvon Tigers",31987.50
28,"Rssle Sauerkraut",26865.60
72,"Mozzarella di Giovanni",25738.80
43,"Ipoh Coffee",25079.20
69,Gudbrandsdalsost,24307.20
20,"Sir Rodney's Marmalade",23635.80
64,"Wimmers gute Semmelkndel",23009.00
7,"Uncle Bob's Organic Dried Pears",22464.00
10,Ikura,22140.20
26,"Gumbr Gummibrchen",21534.90
53,"Perth Pasties",21510.20
71,Flotemysost,20876.50
55,"Pt chinois",19512.00
40,"Boston Crab Meat",19048.30
16,Pavlova,18748.05
2,Chang,18559.20
63,Vegie-spread,17696.30
76,Lakkalikri,16794.00
61,"Sirop d'rable",16438.80
31,"Gorgonzola Telino",16172.50
27,"Schoggi Schokolade",15231.50
30,"Nord-Ost Matjeshering",14775.54
65,"Louisiana Fiery Hot Pepper Sauce",14607.00
36,"Inlagd Sill",14542.60
35,"Steeleye Stout",14536.80
1,Chai,14277.60
11,"Queso Cabrales",13902.00
8,"Northwoods Cranberry Sauce",13760.00
39,"Chartreuse verte",13150.80
12,"Queso Manchego La Pastora",12866.80
70,"Outback Lager",11472.00
44,"Gula Malacca",10524.20
77,"Original Frankfurter grne Soe",9685.00
21,"Sir Rodney's Scones",9636.00
49,Maxilaku,9500.00
4,"Chef Anton's Cajun Seasoning",9424.80
68,"Scottish Longbreads",9362.50
42,"Singaporean Hokkien Fried Mee",9332.40
32,"Mascarpone Fabioli",9171.20
41,"Jack's New England Clam Chowder",9098.10
9,"Mishi Kobe Niku",8827.00
75,"Rhnbru Klosterbier",8650.55
14,Tofu,8630.40
57,"Ravioli Angelo",7807.80
6,"Grandma's Boysenberry Spread",7345.00
22,"Gustaf's Knckebrd",7232.40
34,"Sasquatch Ale",6678.00
58,"Escargots de Bourgogne",6664.75
19,"Teatime Chocolate Biscuits",6159.50
46,Spegesild,6144.00
5,"Chef Anton's Gumbo Mix",5801.15
13,Konbu,5234.40
54,Tourtire,5121.00
23,Tunnbrd,4840.20
24,"Guaran Fantstica",4782.60
45,"Rogede sild",4740.50
47,"Zaanse koeken",4358.60
73,"Rd Kaviar",4200.00
25,"NuNuCa Nu-Nougat-Creme",4051.60
66,"Louisiana Hot Spiced Okra",3519.00
50,"Valkoinen suklaa",3510.00
52,"Filo Mix",3383.80
3,"Aniseed Syrup",3080.00
37,"Gravad lax",3047.20
74,"Longlife Tofu",2566.00
67,"Laughing Lumberjack Lager",2562.00
15,"Genen Shouyu",1813.50
33,Geitost,1713.50
48,Chocolade,1542.75
